Samples,204252_at,211803_at,211804_s_at
GSM1105869,9.817346153,4.646751789,6.03051074
GSM1105870,9.648493966,4.757376251,5.991084943
GSM1105871,9.843957407,4.711045527,5.915045682
GSM1105872,9.49234982,4.66927839,5.950374517
GSM1105873,9.21715016,4.593155651,5.75839623
GSM1105874,9.679554709,4.666024589,5.944497872
GSM1105875,9.979797624,4.701471894,6.076696847
GSM1105876,9.548541846,4.86969749,5.940803607
GSM1105877,9.364873854,4.606833523,5.878393348
GSM1105878,9.609312466,4.746102097,5.99286156
